alphaA,xA,alphaB,xB,sym_kl_rate,floorA,floorB
0.6,0.05,0.6,0.1,0.0052,1.0578,1.0798
0.6,0.05,0.6,0.15,0.0122,1.0578,1.0886
0.6,0.05,0.6,0.25,0.0251,1.0578,1.0971
0.6,0.05,0.6,0.35,0.0359,1.0578,1.0985
0.6,0.05,0.6,0.5,0.0550,1.0578,1.0906
0.6,0.05,0.7,0.05,0.0132,1.0578,0.9882
0.6,0.05,0.7,0.1,0.0075,1.0578,1.0393
0.6,0.05,0.7,0.15,0.0093,1.0578,1.0669
0.6,0.05,0.7,0.25,0.0202,1.0578,1.0931
0.6,0.05,0.7,0.35,0.0380,1.0578,1.0984
0.6,0.05,0.7,0.5,0.0884,1.0578,1.0677
0.6,0.05,0.8,0.05,0.0617,1.0578,0.8724
0.6,0.05,0.8,0.1,0.0345,1.0578,0.9690
0.6,0.05,0.8,0.15,0.0227,1.0578,1.0225
0.6,0.05,0.8,0.25,0.0174,1.0578,1.0838
0.6,0.05,0.8,0.35,0.0403,1.0578,1.0980
0.6,0.05,0.8,0.5,0.1517,1.0578,1.0203
0.6,0.05,0.85,0.05,0.1049,1.0578,0.7962
0.6,0.05,0.85,0.1,0.0630,1.0578,0.9139
0.6,0.05,0.85,0.15,0.0383,1.0578,0.9913
0.6,0.05,0.85,0.25,0.0183,1.0578,1.0766
0.6,0.05,0.85,0.35,0.0424,1.0578,1.0978
0.6,0.05,0.85,0.5,0.2052,1.0578,0.9796
0.6,0.05,0.9,0.05,0.1706,1.0578,0.6930
0.6,0.05,0.9,0.1,0.1054,1.0578,0.8479
0.6,0.05,0.9,0.15,0.0641,1.0578,0.9454
0.6,0.05,0.9,0.25,0.0206,1.0578,1.0661
0.6,0.05,0.9,0.35,0.0438,1.0578,1.0973
0.6,0.05,0.9,0.5,0.2872,1.0578,0.9182
0.6,0.05,0.95,0.05,0.2739,1.0578,0.5663
0.6,0.05,0.95,0.1,0.1720,1.0578,0.7643
0.6,0.05,0.95,0.15,0.1034,1.0578,0.8914
0.6,0.05,0.95,0.25,0.0264,1.0578,1.0536
0.6,0.05,0.95,0.35,0.0463,1.0578,1.0968
0.6,0.05,0.95,0.5,0.4214,1.0578,0.8361
0.6,0.1,0.6,0.15,0.0017,1.0798,1.0886
0.6,0.1,0.6,0.25,0.0095,1.0798,1.0971
0.6,0.1,0.6,0.35,0.0184,1.0798,1.0985
0.6,0.1,0.6,0.5,0.0366,1.0798,1.0906
0.6,0.1,0.7,0.05,0.0292,1.0798,0.9882
0.6,0.1,0.7,0.1,0.0089,1.0798,1.0393
0.6,0.1,0.7,0.15,0.0029,1.0798,1.0669
0.6,0.1,0.7,0.25,0.0058,1.0798,1.0931
0.6,0.1,0.7,0.35,0.0202,1.0798,1.0984
0.6,0.1,0.7,0.5,0.0690,1.0798,1.0677
0.6,0.1,0.8,0.05,0.0870,1.0798,0.8724
0.6,0.1,0.8,0.1,0.0416,1.0798,0.9690
0.6,0.1,0.8,0.15,0.0200,1.0798,1.0225
0.6,0.1,0.8,0.25,0.0047,1.0798,1.0838
0.6,0.1,0.8,0.35,0.0222,1.0798,1.0980
0.6,0.1,0.8,0.5,0.1309,1.0798,1.0203
0.6,0.1,0.85,0.05,0.1340,1.0798,0.7962
0.6,0.1,0.85,0.1,0.0727,1.0798,0.9139
0.6,0.1,0.85,0.15,0.0372,1.0798,0.9913
0.6,0.1,0.85,0.25,0.0062,1.0798,1.0766
0.6,0.1,0.85,0.35,0.0240,1.0798,1.0978
0.6,0.1,0.85,0.5,0.1834,1.0798,0.9796
0.6,0.1,0.9,0.05,0.2039,1.0798,0.6930
0.6,0.1,0.9,0.1,0.1174,1.0798,0.8479
0.6,0.1,0.9,0.15,0.0648,1.0798,0.9454
0.6,0.1,0.9,0.25,0.0094,1.0798,1.0661
0.6,0.1,0.9,0.35,0.0253,1.0798,1.0973
0.6,0.1,0.9,0.5,0.2639,1.0798,0.9182
0.6,0.1,0.95,0.05,0.3103,1.0798,0.5663
0.6,0.1,0.95,0.1,0.1858,1.0798,0.7643
0.6,0.1,0.95,0.15,0.1054,1.0798,0.8914
0.6,0.1,0.95,0.25,0.0156,1.0798,1.0536
0.6,0.1,0.95,0.35,0.0276,1.0798,1.0968
0.6,0.1,0.95,0.5,0.3956,1.0798,0.8361
0.6,0.15,0.6,0.25,0.0035,1.0886,1.0971
0.6,0.15,0.6,0.35,0.0105,1.0886,1.0985
0.6,0.15,0.6,0.5,0.0273,1.0886,1.0906
0.6,0.15,0.7,0.05,0.0457,1.0886,0.9882
0.6,0.15,0.7,0.1,0.0171,1.0886,1.0393
0.6,0.15,0.7,0.15,0.0054,1.0886,1.0669
0.6,0.15,0.7,0.25,0.0012,1.0886,1.0931
0.6,0.15,0.7,0.35,0.0119,1.0886,1.0984
0.6,0.15,0.7,0.5,0.0584,1.0886,1.0677
0.6,0.15,0.8,0.05,0.1138,1.0886,0.8724
0.6,0.15,0.8,0.1,0.0564,1.0886,0.9690
0.6,0.15,0.8,0.15,0.0270,1.0886,1.0225
0.6,0.15,0.8,0.25,0.0019,1.0886,1.0838
0.6,0.15,0.8,0.35,0.0136,1.0886,1.0980
0.6,0.15,0.8,0.5,0.1185,1.0886,1.0203
0.6,0.15,0.85,0.05,0.1660,1.0886,0.7962
0.6,0.15,0.85,0.1,0.0911,1.0886,0.9139
0.6,0.15,0.85,0.15,0.0465,1.0886,0.9913
0.6,0.15,0.85,0.25,0.0044,1.0886,1.0766
0.6,0.15,0.85,0.35,0.0151,1.0886,1.0978
0.6,0.15,0.85,0.5,0.1698,1.0886,0.9796
0.6,0.15,0.9,0.05,0.2416,1.0886,0.6930
0.6,0.15,0.9,0.1,0.1392,1.0886,0.8479
0.6,0.15,0.9,0.15,0.0766,1.0886,0.9454
0.6,0.15,0.9,0.25,0.0087,1.0886,1.0661
0.6,0.15,0.9,0.35,0.0163,1.0886,1.0973
0.6,0.15,0.9,0.5,0.2487,1.0886,0.9182
0.6,0.15,0.95,0.05,0.3534,1.0886,0.5663
0.6,0.15,0.95,0.1,0.2110,1.0886,0.7643
0.6,0.15,0.95,0.15,0.1195,1.0886,0.8914
0.6,0.15,0.95,0.25,0.0156,1.0886,1.0536
0.6,0.15,0.95,0.35,0.0183,1.0886,1.0968
0.6,0.15,0.95,0.5,0.3780,1.0886,0.8361
0.6,0.25,0.6,0.35,0.0023,1.0971,1.0985
0.6,0.25,0.6,0.5,0.0149,1.0971,1.0906
0.6,0.25,0.7,0.05,0.0740,1.0971,0.9882
0.6,0.25,0.7,0.1,0.0368,1.0971,1.0393
0.6,0.25,0.7,0.15,0.0174,1.0971,1.0669
0.6,0.25,0.7,0.25,0.0012,1.0971,1.0931
0.6,0.25,0.7,0.35,0.0030,1.0971,1.0984
0.6,0.25,0.7,0.5,0.0414,1.0971,1.0677
0.6,0.25,0.8,0.05,0.1613,1.0971,0.8724
0.6,0.25,0.8,0.1,0.0899,1.0971,0.9690
0.6,0.25,0.8,0.15,0.0496,1.0971,1.0225
0.6,0.25,0.8,0.25,0.0063,1.0971,1.0838
0.6,0.25,0.8,0.35,0.0040,1.0971,1.0980
0.6,0.25,0.8,0.5,0.0958,1.0971,1.0203
0.6,0.25,0.85,0.05,0.2243,1.0971,0.7962
0.6,0.25,0.85,0.1,0.1331,1.0971,0.9139
0.6,0.25,0.85,0.15,0.0747,1.0971,0.9913
0.6,0.25,0.85,0.25,0.0112,1.0971,1.0766
0.6,0.25,0.85,0.35,0.0047,1.0971,1.0978
0.6,0.25,0.85,0.5,0.1432,1.0971,0.9796
0.6,0.25,0.9,0.05,0.3126,1.0971,0.6930
0.6,0.25,0.9,0.1,0.1900,1.0971,0.8479
0.6,0.25,0.9,0.15,0.1117,1.0971,0.9454
0.6,0.25,0.9,0.25,0.0184,1.0971,1.0661
0.6,0.25,0.9,0.35,0.0056,1.0971,1.0973
0.6,0.25,0.9,0.5,0.2171,1.0971,0.9182
0.6,0.25,0.95,0.05,0.4391,1.0971,0.5663
0.6,0.25,0.95,0.1,0.2717,1.0971,0.7643
0.6,0.25,0.95,0.15,0.1615,1.0971,0.8914
0.6,0.25,0.95,0.25,0.0280,1.0971,1.0536
0.6,0.25,0.95,0.35,0.0068,1.0971,1.0968
0.6,0.25,0.95,0.5,0.3394,1.0971,0.8361
0.6,0.35,0.6,0.5,0.0065,1.0985,1.0906
0.6,0.35,0.7,0.05,0.0947,1.0985,0.9882
0.6,0.35,0.7,0.1,0.0543,1.0985,1.0393
0.6,0.35,0.7,0.15,0.0312,1.0985,1.0669
0.6,0.35,0.7,0.25,0.0068,1.0985,1.0931
0.6,0.35,0.7,0.35,0.0000,1.0985,1.0984
0.6,0.35,0.7,0.5,0.0266,1.0985,1.0677
0.6,0.35,0.8,0.05,0.1953,1.0985,0.8724
0.6,0.35,0.8,0.1,0.1185,1.0985,0.9690
0.6,0.35,0.8,0.15,0.0725,1.0985,1.0225
0.6,0.35,0.8,0.25,0.0163,1.0985,1.0838
0.6,0.35,0.8,0.35,0.0002,1.0985,1.0980
0.6,0.35,0.8,0.5,0.0728,1.0985,1.0203
0.6,0.35,0.85,0.05,0.2663,1.0985,0.7962
0.6,0.35,0.85,0.1,0.1687,1.0985,0.9139
0.6,0.35,0.85,0.15,0.1030,1.0985,0.9913
0.6,0.35,0.85,0.25,0.0237,1.0985,1.0766
0.6,0.35,0.85,0.35,0.0004,1.0985,1.0978
0.6,0.35,0.85,0.5,0.1149,1.0985,0.9796
0.6,0.35,0.9,0.05,0.3648,1.0985,0.6930
0.6,0.35,0.9,0.1,0.2338,1.0985,0.8479
0.6,0.35,0.9,0.15,0.1466,1.0985,0.9454
0.6,0.35,0.9,0.25,0.0340,1.0985,1.0661
0.6,0.35,0.9,0.35,0.0007,1.0985,1.0973
0.6,0.35,0.9,0.5,0.1819,1.0985,0.9182
0.6,0.35,0.95,0.05,0.5044,1.0985,0.5663
0.6,0.35,0.95,0.1,0.3255,1.0985,0.7643
0.6,0.35,0.95,0.15,0.2039,1.0985,0.8914
0.6,0.35,0.95,0.25,0.0467,1.0985,1.0536
0.6,0.35,0.95,0.35,0.0012,1.0985,1.0968
0.6,0.35,0.95,0.5,0.2947,1.0985,0.8361
0.6,0.5,0.7,0.05,0.1224,1.0906,0.9882
0.6,0.5,0.7,0.1,0.0807,1.0906,1.0393
0.6,0.5,0.7,0.15,0.0553,1.0906,1.0669
