alpha,x,floor,flipcost,h_state
0.6,0.05,1.0578,0.0797,0.9909
0.6,0.1,1.0798,0.0380,1.0251
0.6,0.15,1.0886,0.0194,1.0528
0.6,0.25,1.0971,0.0031,1.0889
0.6,0.35,1.0985,0.0002,1.0982
0.6,0.5,1.0906,0.0162,1.0549
0.7,0.05,0.9882,0.2226,0.8966
0.7,0.1,1.0393,0.1195,0.9610
0.7,0.15,1.0669,0.0622,1.0130
0.7,0.25,1.0931,0.0110,1.0804
0.7,0.35,1.0984,0.0004,1.0978
0.7,0.5,1.0677,0.0641,1.0119
0.8,0.05,0.8724,0.4624,0.7704
0.8,0.1,0.9690,0.2614,0.8767
0.8,0.15,1.0225,0.1458,0.9610
0.8,0.25,1.0838,0.0288,1.0694
0.8,0.35,1.0980,0.0012,1.0974
0.8,0.5,1.0203,0.1760,0.9489
0.85,0.05,0.7962,0.6278,0.6939
0.85,0.1,0.9139,0.3752,0.8265
0.85,0.15,0.9913,0.2125,0.9304
0.85,0.25,1.0766,0.0443,1.0629
0.85,0.35,1.0978,0.0017,1.0971
0.85,0.5,0.9796,0.2749,0.9075
0.9,0.05,0.6930,0.8657,0.6071
0.9,0.1,0.8479,0.5129,0.7704
0.9,0.15,0.9454,0.3020,0.8966
0.9,0.25,1.0661,0.0624,1.0558
0.9,0.35,1.0973,0.0028,1.0968
0.9,0.5,0.9182,0.4430,0.8570
0.95,0.05,0.5663,1.1421,0.5082
0.95,0.1,0.7643,0.6903,0.7081
0.95,0.15,0.8914,0.4116,0.8594
0.95,0.25,1.0536,0.0865,1.0481
0.95,0.35,1.0968,0.0040,1.0964
0.95,0.5,0.8361,0.7312,0.7927
